#Iteration cv_0 cv_1
0 -2.5524213 2.6709964
100 -2.3426101 2.5595808
200 -2.7116241 2.8022456
300 -2.5197393 2.731232
400 -2.7173866 2.7064759
500 -2.3262678 2.6475556
600 -2.6037661 2.7639126
700 -2.7950457 2.4437936
800 -2.5283655 2.7151247
900 -2.3286274 2.5026528
1000 -2.5966002 2.5148949
1100 -2.6807466 2.5134642
1200 -2.7738235 2.5438848
1300 -2.3449553 2.3118643
1400 -2.6698869 2.5360132
1500 -2.8056196 2.7616692
1600 -2.5743194 2.7694167
1700 -3.0484344 2.2671176
1800 -2.7862327 2.7626985
1900 -2.6169059 2.5150719
2000 -2.724733 2.8570258
2100 -2.1355892 2.5835487
2200 -2.9974711 2.7993471
2300 -2.6768452 2.8777389
2400 -2.4213468 2.5684237
2500 -2.5916017 2.7821044
2600 -2.6588889 2.796859
2700 -2.4046213 2.7566651
2800 -2.8007684 2.5564087
2900 -2.352726 2.759267
3000 -1.7883419 2.6059491
3100 -2.5898901 2.7403333
3200 -2.5843075 3.0827443
3300 -2.4487972 2.3832422
3400 -2.996682 2.499062
3500 -2.5795565 1.7081533
3600 -2.2130022 1.6336606
3700 -2.2876594 1.7658161
3800 -2.6247986 1.9330228
3900 -2.769627 1.8588114
4000 -2.7026074 2.3782473
4100 -2.8410751 2.5187888
4200 -2.5768394 2.5878811
4300 -2.6858023 2.604138
4400 -3.0394139 2.9523852
4500 -2.9656909 2.4924859
4600 -2.4870354 2.4062242
4700 -2.4380764 2.7780537
4800 -2.6231345 2.67642
4900 -2.7708032 1.991622
5000 -2.4417981 2.6717569
5100 -2.3978523 2.5599257
5200 -1.999413 2.2100992
5300 -2.8336194 1.8619092
5400 -1.991842 2.2535654
5500 -1.6023426 1.7672726
5600 -1.7722549 1.8759513
5700 -2.401448 2.1704085
5800 -2.855597 2.3248171
5900 -1.4906941 2.1203215
6000 -1.844843 2.2158094
6100 -2.6427152 2.3060183
6200 -1.8469691 1.9977088
6300 -1.1002959 2.6739489
6400 -1.4236676 2.6059225
6500 -1.0248805 2.2756437
6600 -1.502059 2.513729
6700 -1.0957323 2.2946937
6800 -0.78728397 2.3808485
6900 -1.6874552 2.7658494
7000 -1.3433354 2.5727451
7100 -1.3641916 2.6425043
7200 -1.2783703 2.7798657
7300 -1.3912105 2.8502934
7400 -1.3123417 3.0991441
7500 -1.228571 2.9548138
7600 -1.3213677 2.7851734
7700 -1.0857558 2.9436503
7800 -1.3007677 2.8456375
7900 -1.0128931 2.5893202
8000 -1.4448874 2.3272481
8100 -0.86714171 2.7704342
8200 -1.6278622 2.6326514
8300 -1.1238201 2.5193926
8400 -1.2800954 2.5520929
8500 -0.95369405 2.8352364
8600 -1.1792394 2.7149232
8700 -1.0576177 2.5626925
8800 -1.227597 2.7549763
8900 -1.1603452 2.5518393
9000 -1.3523549 2.7898626
9100 -1.2916771 2.6026283
9200 -1.220972 2.4077673
9300 -0.73460056 2.6048512
9400 -1.5309548 2.5515054
9500 -0.98080015 2.5517473
9600 -1.1368521 2.2635718
9700 -1.0782524 2.7089454
9800 -0.86527295 2.6388849
9900 -1.1321772 2.550825
10000 -1.3922133 2.6449912
10100 -1.7717353 2.5388838
10200 -1.3288419 2.2371514
10300 -1.481597 2.283612
10400 -1.4660224 2.6929299
10500 -1.8021674 2.5756499
10600 -1.8148314 2.4672355
10700 -1.5555223 2.3069993
10800 -1.6361886 2.5299256
10900 -1.8515345 2.3018047
11000 -1.4964281 2.6372345
11100 -1.6033311 -3.0318665
11200 -1.8543231 -3.071332
11300 -2.4337487 3.0407599
11400 -2.8385032 2.7654015
11500 -2.8841422 2.7855575
11600 -3.0561297 2.9121188
11700 -2.4456931 -3.090078
11800 2.1947406 2.4380356
11900 1.3400684 3.0557773
12000 0.68451902 2.3315536
12100 0.74099494 -3.0902168
12200 0.78782368 -2.8148018
12300 1.005667 2.4836404
12400 1.4437952 2.2472874
12500 0.67292973 2.8952129
12600 1.0480958 3.0596539
12700 0.60484897 2.7725859
12800 1.1281274 2.8049869
12900 0.86481817 2.8776058
13000 1.2664837 -2.7969933
13100 1.2338028 2.5309695
13200 0.67849398 2.4952083
13300 1.2438159 3.0464016
13400 0.79010011 -2.679905
13500 1.3096589 2.407434
13600 0.92774415 -3.0758903
13700 1.115859 2.9591493
13800 1.3953863 3.0001024
13900 0.85096434 -3.1325231
14000 1.0390866 2.4673712
14100 1.0911818 2.8216176
14200 0.80213418 3.0565828
14300 1.0592343 3.0133235
14400 0.87848913 2.9956814
14500 0.92008165 3.06112
14600 0.92071752 -3.0707018
14700 0.83950725 -2.6251579
14800 0.77770358 -2.8024507
14900 0.94474042 -2.2476706
15000 1.059934 -1.9643379
15100 0.77343724 -2.2145925
15200 0.95836062 -2.5302814
15300 0.91720559 -2.6016629
15400 0.94631791 -2.7781718
15500 0.77632544 -2.7977237
15600 1.1504474 -2.927578
15700 1.1198058 -2.7111567
15800 0.94211312 3.0833164
15900 0.97053321 -2.80136
16000 1.0059768 -2.3336424
16100 0.6611335 -2.0310764
16200 0.84427476 -2.2153757
16300 1.1854763 -2.8888082
16400 0.66181248 -2.5635619
16500 0.90753138 -2.7529764
16600 0.98968701 -3.0083894
16700 1.1349546 -2.7119907
16800 1.0960183 2.9878673
16900 0.60763461 -3.0368576
17000 0.82385703 -2.9016728
17100 1.35185 2.9080031
17200 0.79699122 -2.9771448
17300 1.1752749 3.0246864
17400 1.1949608 -3.0960611
17500 1.0529184 2.7770306
17600 0.9510977 2.83479
17700 1.0655298 2.6089098
17800 0.77899853 3.0322209
17900 0.96802553 -3.136644
18000 0.77006603 2.9862215
18100 1.1496132 3.0604871
18200 0.99618788 3.0690082
18300 1.05371 -2.9068598
18400 1.18472 -2.9774052
18500 0.97874518 2.8136866
18600 0.9732018 2.7876498
18700 0.86846934 -2.9873464
18800 1.19484 -2.9370948
18900 1.3480705 3.0749072
19000 0.62879537 -2.582197
19100 1.2390258 3.0039857
19200 1.2127494 2.0879914
19300 0.92775755 1.4141233
19400 0.81253721 1.2653178
19500 0.89988492 0.85876035
19600 0.93497234 1.0244972
19700 1.1352926 1.7487009
19800 0.7526253 1.6388301
19900 0.96890222 1.2628811
20000 0.78251049 1.257275
20100 0.97664862 0.22418885
20200 0.98625437 0.66020576
20300 0.80891674 0.44119754
20400 0.71192544 0.7888126
20500 1.010037 0.12871322
20600 0.47615944 0.9294577
20700 0.68919466 0.79277255
20800 0.82982928 0.49893541
20900 0.83968203 0.91019595
21000 1.0258304 0.51385701
21100 0.9255047 0.49070181
21200 0.8782525 0.54743052
21300 1.1052444 0.58580604
21400 0.80724086 0.49033897
21500 1.1613505 0.61348163
21600 0.9875785 0.37969174
21700 1.0324529 0.25026746
21800 0.42935906 0.84656516
21900 0.94591234 0.13848569
22000 0.94613515 0.16111179
22100 0.78930872 0.3410444
22200 0.78893656 0.45576835
22300 1.0923024 0.33522981
22400 0.90840411 0.30184105
22500 1.2014366 -0.17408677
22600 1.3658896 -0.013159398
22700 0.61440898 0.76708681
22800 0.82068233 0.6401452
22900 0.91964352 0.81687147
23000 0.96398313 0.48794996
23100 0.88505478 0.62816005
23200 1.1056599 0.79072049
23300 0.82228062 0.54246035
23400 0.95772302 0.5809691
23500 0.86436044 0.53770735
23600 0.79533222 0.45183203
23700 0.960419 0.31406748
23800 1.1995895 0.29690486
23900 0.69258072 0.72810707
24000 1.1411617 0.42403606
24100 1.0081364 0.15646838
24200 1.1431436 0.36435885
24300 1.0736744 0.26936547
24400 1.0684759 -0.25776489
24500 1.1389012 0.25429145
24600 1.0199737 0.28726285
24700 1.1989598 -0.13632104
24800 1.1670777 -0.032830034
24900 1.120651 0.0069955389
25000 1.2283264 -0.30894137
25100 1.1155759 -0.60065982
25200 1.0200382 -0.26969142
25300 1.0942394 -0.52429341
25400 0.91174443 -0.25902985
25500 1.0179918 -0.35735053
25600 1.2207435 -0.57805984
25700 1.0095341 -0.2362689
25800 1.1143426 -0.21264691
25900 0.7583646 0.17894835
26000 1.1159652 -0.44602271
26100 0.93429742 -0.58638848
26200 1.0984351 -0.87088124
26300 0.81810609 -0.20386274
26400 1.3857909 -0.72280013
26500 1.3466124 0.0059583504
26600 1.0915065 0.15964604
26700 1.1082555 -0.2577499
26800 0.72123597 -0.26808244
26900 0.91030357 -0.71090691
27000 1.1885231 -1.1295909
27100 1.0008299 -0.6860061
27200 1.0626432 -0.93761319
27300 0.87638227 -0.77963536
27400 1.0460763 -0.93801256
27500 1.2094678 -0.90742197
27600 0.99538134 -0.89408553
27700 1.0271646 -1.6808965
27800 0.83040952 -1.0784447
27900 0.89071152 -0.72352477
28000 0.92488415 -0.51142929
28100 1.2634912 -0.45441891
28200 1.2542716 -0.70418395
28300 1.3071686 -0.96961063
28400 1.263271 -1.1596012
28500 1.1715039 -0.96245008
28600 1.1369441 -1.0079812
28700 1.1829189 -1.0966683
28800 1.1175976 -0.70891976
28900 1.2116696 -0.44015796
29000 1.0117307 -0.44050391
29100 0.84007083 -0.11965674
29200 0.92652159 0.4997974
29300 1.1305404 -0.33909585
29400 1.1652051 -0.23426435
29500 0.79609383 -0.32563484
29600 0.76972764 -0.12697219
29700 1.2056046 -0.35725235
29800 1.1817059 -0.70836186
29900 0.90622984 -0.21354327
30000 1.0210078 -0.74064028
30100 0.47600672 -0.4897057
30200 0.51950972 -0.10724656
30300 0.84503021 -1.1197804
30400 0.60559014 -0.81925095
30500 0.69252354 -0.75955376
30600 0.26016313 -0.49483195
30700 1.4582928 -1.1770835
30800 0.91887002 -0.89778966
30900 1.2810356 -1.0780631
31000 1.4389358 -1.4188277
31100 1.0583171 -1.0655568
31200 0.51918708 -0.87509741
31300 0.85096117 -1.5155129
31400 0.60583684 -1.8590936
31500 0.55252372 -1.2844225
31600 0.44304433 -1.4051369
31700 0.35144954 -1.5708249
31800 0.48163023 -1.7541623
31900 0.38585582 -1.6087743
32000 0.22547515 -1.4512175
32100 -0.29316847 -1.1175279
32200 -1.091878 -0.27328174
32300 -1.4752763 -0.18901951
32400 -1.0039916 -0.47664729
32500 -1.5601479 -0.01750832
32600 -1.1826521 -0.77476011
32700 -1.2074514 -0.56319927
32800 -1.0492556 -0.28212289
32900 -1.2603422 -0.45474959
33000 -1.5220079 -0.4013706
33100 -2.1331813 -0.10795571
33200 -1.9533616 -0.31448007
33300 -0.89812238 -0.26596727
33400 -1.7043527 -0.22422263
33500 -1.4598941 0.086117506
33600 -1.3387832 0.10914814
33700 -1.7929657 -0.019498829
33800 -2.234191 -0.33387715
33900 -2.5801963 0.29801318
34000 -2.1280403 -0.31109909
34100 -2.233714 -0.20064625
34200 -2.6477726 -0.19899291
34300 -2.4897059 0.17812859
34400 -2.6199816 0.34027947
34500 -2.0094243 -0.0024552523
34600 -2.4600736 0.28464105
34700 -2.4653008 0.47396331
34800 -2.7416696 0.016676911
34900 -2.3285741 -0.21900914
35000 -2.4436065 0.57984551
35100 -2.0142803 1.1046026
35200 -1.2024729 0.48312981
35300 -1.7682356 1.0503924
35400 -1.2961531 1.1715514
35500 -1.8406223 0.66074636
35600 -1.7969756 0.71391159
35700 -1.17923 0.49028171
35800 -1.6369712 0.58220282
35900 -1.5554305 0.63020394
36000 -1.7187204 0.29871883
36100 -1.7247781 0.37131075
36200 -1.292341 0.23473653
36300 -1.4321974 0.56755899
36400 -1.2000142 0.43127801
36500 -1.6095537 0.3482756
36600 -1.2349296 0.26032008
36700 -1.7633554 0.21705007
36800 -1.5741232 0.17882787
36900 -1.565292 0.051918232
37000 -1.6071508 0.48686522
37100 -1.7175833 0.51841569
37200 -1.4182376 0.4853712
37300 -1.4706427 0.63058896
37400 -1.3954805 0.40072041
37500 -1.5727107 0.6280795
37600 -1.2460829 0.8782048
37700 -1.3196816 1.4871815
37800 -1.4255925 1.5985817
37900 -1.1851187 1.6308755
38000 -1.2331802 1.0343536
38100 -1.0547116 1.2238536
38200 -1.016718 1.9279997
38300 -0.9112944 1.8638466
38400 -1.036411 1.8556783
38500 -0.7768248 1.999204
38600 -0.63805061 2.1444198
38700 -1.0060031 1.6888927
38800 -0.69836395 1.46253
