#Iteration cv_0 cv_1
0 -2.5524213 2.6709964
100 -2.343133 2.559551
200 -2.7118237 2.8022696
300 -2.5202456 2.7320697
400 -2.7183642 2.7199887
500 -2.3909231 2.6301232
600 -2.4069505 2.7890952
700 -2.6032473 2.6695319
800 -2.7477603 2.1722557
900 -2.7103832 2.717721
1000 -2.7252133 2.5652916
1100 -2.2641206 2.675133
1200 -2.6468215 2.6100591
1300 -2.4221253 2.489649
1400 -2.4234205 2.8528542
1500 -2.1574962 2.3897057
1600 -2.0887521 2.7230128
1700 -2.2299487 2.711312
1800 -2.6342313 2.2060781
1900 -2.2811394 2.3227105
2000 -2.3239443 2.1898706
2100 -2.4941198 2.7606157
2200 -2.4450903 2.6304306
2300 -2.4543666 2.6406923
2400 -2.5274638 2.5854798
2500 -1.7888812 2.3782212
2600 -2.1296211 2.5410282
2700 -2.71922 2.7356123
2800 -2.0368867 2.4470025
2900 -2.6811665 2.7468836
3000 -2.6645255 2.6760611
3100 -2.2294252 3.0686571
3200 -2.5565011 2.4965531
3300 -2.4452032 2.5101805
3400 -2.5341949 2.3420561
3500 -2.5529913 2.6492627
3600 -2.5905161 2.6275872
3700 -2.3574676 2.7221445
3800 -2.4625417 2.5668132
3900 -1.9644198 2.6286204
4000 -1.8098884 2.2206615
4100 -2.2644863 2.3423374
4200 -2.8836831 2.849414
4300 -2.4094086 2.6596134
4400 -2.3680416 2.3121649
4500 -2.0272958 2.4629728
4600 -2.9838439 2.728371
4700 -2.3091974 2.3659808
4800 -1.3235178 2.4853374
4900 -1.9028885 2.3407828
5000 -2.246637 2.237265
5100 -2.1481907 2.2001054
5200 -2.4757675 2.7489917
5300 -2.4582528 2.3469776
5400 -2.1940888 2.44541
5500 -2.2068842 2.8142336
5600 -1.9862902 2.7759419
5700 -2.2299597 2.8419611
5800 -2.164454 2.7208473
5900 -1.1242918 2.4289776
6000 -1.3727895 2.3497675
6100 -1.2341657 2.6839601
6200 -2.1242109 2.5749124
6300 -1.6558834 2.5745173
6400 -1.1211106 2.5718899
6500 -1.3466784 2.8455718
6600 -1.4119893 2.7075726
6700 -1.2477586 2.6878937
6800 -1.3438084 2.7705194
6900 -1.2518312 2.5965051
7000 -1.2721609 2.3722859
7100 -1.5374261 2.7885434
7200 -1.711113 2.70847
7300 -1.9985142 2.7078147
7400 -2.2669311 2.7952563
7500 -1.7460923 2.561789
7600 -2.146863 2.7809314
7700 -2.3533201 2.1172564
7800 -2.5339701 2.2215152
7900 -2.2636311 2.836474
8000 -2.49008 2.692401
8100 -2.650834 2.4035728
8200 -2.386956 2.7274325
8300 -2.7200507 2.5583352
8400 -2.957838 3.0483833
8500 -2.8140214 2.7824016
8600 -2.2592593 2.8935956
8700 -2.739441 2.8040917
8800 -1.7878314 2.6678746
8900 -2.0482559 2.0868872
9000 -1.251052 2.467698
9100 -1.7613538 2.7229235
9200 -1.839429 2.8468599
9300 -1.5378251 2.4510648
9400 -1.367848 2.445113
9500 -1.653187 2.3082126
9600 -1.3709516 2.8791574
9700 -1.0800869 2.3711211
9800 -1.1701194 2.5093103
9900 -1.3067573 2.6969978
10000 -1.3235602 2.6820363
10100 -1.1483502 2.3859802
10200 -1.1805996 2.4638337
10300 -1.1252347 2.89004
10400 -0.77568062 2.6144995
10500 -0.80668112 2.1895087
10600 -0.85084014 2.7798349
10700 -0.68738351 2.1479302
10800 -1.0045387 1.9633112
10900 -0.90525415 2.2185561
11000 -0.62021644 2.0478297
11100 -0.92778672 2.1171909
11200 -1.0525589 1.966876
11300 -0.72385482 1.9014273
11400 -0.92346675 2.1767032
11500 -0.82454167 1.9811946
11600 -0.53718075 2.0179833
11700 -0.72722309 2.1698245
11800 -0.908882 2.0860046
11900 -1.0853082 1.9894616
12000 -1.074564 2.0978041
12100 -0.89219776 2.1260426
12200 -0.87008462 2.0666707
12300 -0.87293401 2.2186811
12400 -0.85115439 2.0119299
12500 -1.0703997 2.288954
12600 -2.1286205 3.07052
12700 3.1298478 -3.0933503
12800 -2.0859325 2.7922114
12900 -1.6583013 3.1396198
13000 -1.2492096 -3.1382638
13100 -1.2556121 3.1402856
13200 -1.1404843 -3.0494721
13300 -1.1395735 2.6843861
13400 -0.71624317 2.231543
13500 -1.1907146 2.1329122
13600 -0.930864 2.1764848
13700 -0.76995009 2.3813671
13800 -1.0863063 1.9637986
13900 -1.2422359 2.3390946
14000 -0.70604075 2.2504009
14100 -0.96646326 2.100356
14200 -0.89954448 2.0321535
14300 -0.42847842 1.8243013
14400 -0.74038384 2.4421268
14500 -0.69105098 2.6969208
14600 -0.86484092 2.627262
14700 -0.74698868 2.4736526
14800 -0.73429729 1.9353173
14900 -1.0898005 1.9965404
15000 -0.86101394 1.8603584
15100 -1.0374231 2.03634
15200 -1.3849345 2.0511523
15300 -1.4691818 1.9733031
15400 -1.3775399 2.0550754
15500 -1.1461847 2.0247842
15600 -1.2872097 2.0757783
15700 -1.7510496 2.0777194
15800 -1.6203271 1.9467723
15900 -1.2217081 2.0475169
16000 -1.2520141 1.8721454
16100 -1.4043729 2.301911
16200 -1.4325726 1.8953926
16300 -1.4194475 1.9816478
16400 -1.479962 2.0824773
16500 -0.96291348 2.1679456
16600 -0.86107609 2.8441898
16700 -1.105992 -3.090414
16800 -1.6007581 2.9658527
16900 -1.5224712 3.0805581
17000 -0.983536 3.0318553
17100 -1.275692 -3.0345488
17200 -1.2084986 3.0957636
17300 -1.1947672 3.1079098
17400 -1.1423301 3.0263322
17500 -1.2400706 -3.0978754
17600 -1.4420877 -3.0715575
17700 -1.1027372 3.0813498
17800 -0.80768778 2.3747888
17900 -0.62799933 2.3481861
18000 -0.84390338 2.6671268
18100 -0.69618059 2.3498961
18200 -0.83185339 2.7195499
18300 -0.86702501 2.8754352
18400 -0.93382682 2.5613572
18500 -0.93205461 2.4372231
18600 -1.0676855 2.0444491
18700 -1.161177 2.0528057
18800 -0.79634981 1.9739211
